name,scientific_name,volatility_class,odor_family,odor_descriptors,role,main_components,origin_country,extraction_method,objective_description,subjective_description,sensory_notes,source_info,comparison_notes,preference_moon,preference_score,industry_usage,data_source,pubchem_cid,cas_number,molecular_formula,molecular_weight,iupac_name,smiles,logp,boiling_point,vapor_pressure,academic_count,top_citation_count,latest_paper_year,ifra_status,amendment_version,category_1_pct,category_2_pct,category_3_pct,category_4_pct,category_5a_pct,category_5b_pct,category_5c_pct,category_5d_pct,category_6_pct,category_7a_pct,category_7b_pct,category_8_pct,category_9_pct,category_10a_pct,category_10b_pct,category_11a_pct,category_11b_pct,category_12_pct
(Ethoxymethoxy)-cyclododecane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,94111.0,58567-11-6,C15H30O2,242.4,ethoxymethoxycyclododecane,,5.5,,,0.0,0.0,,Restricted,51st (2023),0.27,0.08,1.6,1.5,0.38,0.38,0.38,0.13,0.49,3.1,3.1,0.13,2.9,11.0,11.0,0.13,0.13,0.0
"1,2,3,4-Tetrahydro-4-methylquinoline",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,86854.0,242-977-8,C10H13N,147.22,"4-methyl-1,2,3,4-tetrahydroquinoline",,2.6,,,0.0,0.0,,No Restriction,51st (2023),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1-(1,2,3,4,5,6,7,8 Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl) ethanone (OTNE)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,108242.0,54464-57-2,C16H26O,234.38,"1-(2,3,8,8-tetramethyl-1,3,4,5,6,7-hexahydronaphthalen-2-yl)ethanone",,3.6,,,0.0,0.0,,Restricted,51st (2023),0.41,1.1,0.41,20.0,5.1,0.56,0.76,0.19,0.0093,0.67,0.67,0.19,2.4,2.4,6.6,0.19,0.19,0.0
"1-(2,2,6-Trimethylcyclohexyl)-3-hexanol",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,116699.0,70788-30-6,C15H30O,226.4,"1-(2,2,6-trimethylcyclohexyl)hexan-3-ol",,5.2,,,0.0,0.0,,Restricted,51st (2023),0.17,0.071,0.51,1.3,0.34,0.34,0.34,0.11,0.17,0.51,0.51,0.11,2.6,0.68,4.7,0.11,0.11,0.0
"1-(2,2,6-Trimethylcyclohexyl)-3-pentanol",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,108424.0,262-115-4,C14H28O,212.37,"1-(2,2,6-trimethylcyclohexyl)pentan-3-ol",,4.9,,,0.0,0.0,,Restricted,51st (2023),0.096,0.071,1.4,1.3,0.34,0.34,0.096,0.032,0.096,2.7,2.7,0.032,2.6,3.4,9.3,0.032,0.032,0.0
"1-(2,4,4,5,5-Pentamethyl-1-cyclopenten-1-yl)ethan-1-one",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,83177.0,236-080-0,C12H20O,180.29,"1-(2,4,4,5,5-pentamethylcyclopenten-1-yl)ethanone",,2.8,,,0.0,0.0,,Restricted,51st (2023),0.077,0.023,0.46,0.43,0.11,0.11,0.11,0.11,0.25,0.88,0.88,0.045,0.84,3.0,3.0,1.7,1.7,0.0
1-(2-tert.-Butyl cyclohexyloxy)-2-butanol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,164422.0,412-300-2,C14H28O2,228.37,1-(2-tert-butylcyclohexyl)oxybutan-2-ol,,3.8,,,0.0,0.0,,Restricted,51st (2023),0.24,0.071,1.4,1.3,0.34,0.34,0.34,0.11,0.75,2.7,2.7,0.11,2.6,4.5,9.3,0.11,0.11,0.0
"1-(5,5-Dimethyl-1-cyclohexen-1-yl)pent-4-en-1-one",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,92606.0,56973-85-4,C13H20O,192.3,"1-(5,5-dimethylcyclohexen-1-yl)pent-4-en-1-one",,3.6,,,0.0,0.0,,Restricted,51st (2023),0.19,0.057,0.18,1.1,0.27,0.27,0.27,0.091,0.54,0.54,0.54,0.091,1.4,1.4,3.4,0.091,0.091,0.0
1-Octen-3-yl acetate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,17121.0,2442-10-6,C10H18O2,170.25,oct-1-en-3-yl acetate,,3.1,,,0.0,0.0,,Restricted,51st (2023),0.27,0.08,1.6,1.5,0.38,0.38,0.38,0.38,0.88,3.1,3.1,0.16,2.9,11.0,11.0,5.8,5.8,0.0
"2,2-Dichloro-1-methylcyclopropylbenzene",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,107129.0,3591-42-2,C10H10Cl2,201.09,"(2,2-dichloro-1-methylcyclopropyl)benzene",,3.8,,,0.0,0.0,,Prohibited,51st (2023),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2,2-Dimethyl-3-(3-tolyl)propan-1-ol",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,175948.0,103694-68-4,C12H18O,178.27,"2,2-dimethyl-3-(3-methylphenyl)propan-1-ol",,3.1,,,0.0,0.0,,Restricted,51st (2023),0.034,0.2,0.025,1.7,0.43,0.061,0.039,0.013,0.0025,0.052,0.052,0.013,0.14,0.14,0.3,0.013,0.013,8.6
