name,cas_number,synonyms,amendment_version,ifra_status,category_1_pct,category_2_pct,category_3_pct,category_4_pct,category_5a_pct,category_5b_pct,category_5c_pct,category_5d_pct,category_6_pct,category_7a_pct,category_7b_pct,category_8_pct,category_9_pct,category_10a_pct,category_10b_pct,category_11a_pct,category_11b_pct,category_12_pct
"Acetic acid, anhydride, reaction products with 1,5,10-Trimethyl-1,5,9-cyclododecatriene","144020-22-4
28371-99-5","Methyl trimethylcyclododecatrienyl ketone (mixture of isomers)
Trimofix O (commercial name)
Fixamber (commercial name)",51st (2023),Restricted,0.00016,0.13,0.4,2.4,0.6,0.52,0.6,0.17,0.00016,0.87,0.87,0.17,2.2,2.2,4.4,0.17,0.17,No Restriction
Acetylated Vetiver oil,"84082-84-8
68917-34-0
73246-97-6
62563-80-8","Vetiveria zizanioides, extract, acetylated
Oils, vetiver, acetylated
Acetic acid, esters with vetiver oil alcohols
Vetiverol, acetate
Vetivert acetate (commercial name)
Vetivert acetate (Haiti) (commercial name)
Vetyveryl acetate (commercial name)",51st (2023),Restricted,0.05,0.05,0.05,0.9,0.1,0.1,0.1,0.033,0.098,0.1,0.1,0.033,0.2,0.2,3.8,0.033,0.033,No Restriction
Allyl phenoxyacetate,"7493-74-5
863306-60-9","Acetic acid, phenoxy-, 2-propenyl ester
2-Propenyl phenoxyacetate
Prop-2-enyl 2-phenoxyacetate
Acetate PA",51st (2023),Restricted,0.054,0.016,0.21,0.3,0.076,0.076,0.076,0.025,0.18,0.41,0.41,0.025,0.59,0.59,1.7,0.025,0.025,52
alpha-Amyl cinnamic alcohol,101-85-9,"Amylcinnamyl alcohol
α-Amylcinnamyl alcohol
2-Amyl-3-phenyl-2-propen-1-ol
2-Benzylideneheptanol
1-Heptanol, 2-(phenylmethylene)-
α-Pentylcinnamyl alcohol",51st (2023),Restricted,0.27,0.08,0.64,1.5,0.38,0.32,0.38,0.11,0.32,0.64,0.64,0.11,1.6,1.6,3.5,0.11,0.11,79
alpha-Amyl cinnamic aldehyde,122-40-7,"Amyl cinnamal
Amyl cinnamic aldehyde
α-Amylcinnamaldehyde
α-Amyl ß-phenylacrolein
Heptanal, 2-(phenylmethylene)
α-Pentylcinnamaldehyde
α-Pentyl-ß-phenylacrolein
2-(Phenylmethylene)heptanal
Flomine (commercial name)",51st (2023),Restricted,0.58,0.53,0.26,7,2.5,0.32,0.45,0.11,0.064,0.26,0.26,0.11,1.5,1.5,3.5,0.11,0.11,No Restriction
Anisyl alcohol,"105-13-5
1331-81-3","Anisalcohol
Anise alcohol
Anisic alcohol
Benzyl alcohol, p-methoxy
p-Methoxybenzyl alcohol",51st (2023),Restricted,0.0028,0.039,0.025,0.21,0.041,0.0055,0.033,0.002,0.091,0.033,0.033,0.002,0.099,0.099,0.17,0.002,0.002,14
Benzaldehyde,100-52-7,"Benzenecarbonal
Benzene carboxaldehyde
Benzenecarboxaldehyde
Benzenemethylal
Benzoic aldehyde
Bitter almond oil, synthetic
Phenylformaldehyde
Phenylmethanol aldehyde",51st (2023),Restricted,0.045,0.014,0.27,0.25,0.064,0.064,0.064,0.021,0.15,0.52,0.52,0.021,0.49,0.49,1.8,0.021,0.021,No Restriction
Benzyl alcohol,100-51-6,"Benzenemethanol
Benzylic alcohol
α-Hydroxytoluene
Phenylcarbinol
Phenyl carbinol
Phenylmethanol
Phenylmethyl alcohol
α-Toluenol",51st (2023),Restricted,0.45,0.14,0.34,2.5,0.64,0.17,0.34,0.057,1.5,0.68,0.68,0.057,2.2,2.2,8.5,0.057,0.057,No Restriction
Benzyl benzoate,120-51-4,"Benylate
Benzoic acid, benzyl ester
Benzoic acid, phenylmethyl ester
Benzyl phenylformate
Phenylmethyl benzoate",51st (2023),Restricted,1.7,1.4,0.41,4.8,4.3,0.21,0.83,0.07,0.41,0.41,0.41,0.07,1.9,1.9,12,0.07,0.07,No Restriction
Benzyl cinnamate,103-41-3,"Benzyl γ-phenylacrylate
Benzyl 3-phenylpropenoate
Cinnamein
Cinnamic acid, benzyl ester
Phenylmethyl 3-phenyl-2-propenoate
2-Propenoic acid, 3-phenyl-phenylmethyl ester",51st (2023),Restricted,0.36,0.11,1.2,2,0.51,0.51,0.51,0.17,1.2,2.4,2.4,0.17,3.9,3.9,14,0.17,0.17,No Restriction
Benzyl salicylate,118-58-1,"Benzoic acid, 2-hydroxy-, phenylmethyl ester
Benzyl 2-hydroxybenzoate
Benzyl o-hydroxybenzoate
2-Hydroxybenzoic acid, benzyl ester
Phenylmethyl 2-hydroxybenzoate
Salicylic acid, benzyl ester",51st (2023),Restricted,1.3,0.39,7.8,7.3,1.9,1.9,1.9,1.9,4.3,15,15,0.77,14,51,51,28,28,No Restriction
alpha-Butylcinnamaldehyde,7492-44-6,"2-Benzylidenehexanal
Butyl cinnamic aldehyde
α-Butyl-β-phenylacrolein
Hexanal, 2-(phenylmethylene)-
alpha-butylcinnamaldehyde",51st (2023),Restricted,0.077,0.023,0.46,0.43,0.11,0.11,0.11,0.036,0.25,0.88,0.88,0.036,0.84,0.84,3,0.036,0.036,No Restriction
3-(m-tert-Butylphenyl)-2-methylpropionaldehyde (m-BMHCA),62518-65-4,"Benzenepropanal, 3-(1,1-dimethylethyl)-α-methyl-
3-(3-tert-Butylphenyl)-2-methylpropanal
m-BMHCA",51st (2023),Restricted,0.0086,0.094,0.21,1.8,0.45,0.28,0.42,0.094,0.0086,0.37,0.37,0.094,0.96,0.96,3.1,0.094,0.094,64
