name,source,pubchem_cid,cas_number,molecular_formula,molecular_weight,iupac_name,smiles,logp,boiling_point,vapor_pressure,pubchem_note
"Acetic acid, anhydride, reaction products with 1,5,10-Trimethyl-1,5,9-cyclododecatriene",ifra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CID not found (CAS/학명/성분/원료명 모두 실패)
Acetylated Vetiver oil,ifra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CID not found (CAS/학명/성분/원료명 모두 실패)
Allyl phenoxyacetate,ifra,24117,7493-74-5,C11H12O3,192.21,prop-2-enyl 2-phenoxyacetate,N/A,2.1,N/A,N/A,CAS 검색 성공: CAS(7493-74-5)
alpha-Amyl cinnamic alcohol,ifra,6076971,101-85-9,C14H20O,204.31,(2Z)-2-benzylideneheptan-1-ol,N/A,4.4,N/A,N/A,CAS 검색 성공: CAS(101-85-9)
alpha-Amyl cinnamic aldehyde,ifra,31209,122-40-7,C14H18O,202.29,2-benzylideneheptanal,N/A,4.2,N/A,N/A,CAS 검색 성공: CAS(122-40-7)
Anisyl alcohol,ifra,7738,105-13-5,C8H10O2,138.16,(4-methoxyphenyl)methanol,N/A,1.1,N/A,N/A,CAS 검색 성공: CAS(105-13-5)
Benzaldehyde,ifra,240,100-52-7,C7H6O,106.12,benzaldehyde,N/A,1.5,N/A,N/A,CAS 검색 성공: CAS(100-52-7)
Benzyl alcohol,ifra,244,100-51-6,C7H8O,108.14,phenylmethanol,N/A,1.1,N/A,N/A,CAS 검색 성공: CAS(100-51-6)
Benzyl benzoate,ifra,2345,120-51-4,C14H12O2,212.24,benzyl benzoate,N/A,4,N/A,N/A,CAS 검색 성공: CAS(120-51-4)
Benzyl cinnamate,ifra,5273469,103-41-3,C16H14O2,238.28,benzyl (E)-3-phenylprop-2-enoate,N/A,3.8,N/A,N/A,CAS 검색 성공: CAS(103-41-3)
Benzyl salicylate,ifra,8363,118-58-1,C14H12O3,228.24,benzyl 2-hydroxybenzoate,N/A,3.2,N/A,N/A,CAS 검색 성공: CAS(118-58-1)
alpha-Butylcinnamaldehyde,ifra,5385520,7492-44-6,C13H16O,188.26,(2E)-2-benzylidenehexanal,N/A,3.7,N/A,N/A,CAS 검색 성공: CAS(7492-44-6)
3-(m-tert-Butylphenyl)-2-methylpropionaldehyde (m-BMHCA),ifra,112494,62518-65-4,C14H20O,204.31,3-(3-tert-butylphenyl)-2-methylpropanal,N/A,3.9,N/A,N/A,CAS 검색 성공: CAS(62518-65-4)
p-tert-Butyldihydrocinnamaldehyde,ifra,64832,18127-01-0,C13H18O,190.28,3-(4-tert-butylphenyl)propanal,N/A,3.3,N/A,N/A,CAS 검색 성공: CAS(18127-01-0)
p-tert-Butyl-α-methylhydrocinnamic aldehyde (p-BMHCA),ifra,228987,80-54-6,C14H20O,204.31,3-(4-tert-butylphenyl)-2-methylpropanal,N/A,3.9,N/A,N/A,CAS 검색 성공: CAS(80-54-6)
Carvone,ifra,7439,99-49-0,C10H14O,150.22,2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,N/A,2.4,N/A,N/A,CAS 검색 성공: CAS(99-49-0)
Cinnamic alcohol,ifra,5315892,104-54-1,C9H10O,134.17,(E)-3-phenylprop-2-en-1-ol,N/A,1.9,N/A,N/A,CAS 검색 성공: CAS(104-54-1)
Cinnamic aldehyde,ifra,637511,104-55-2,C9H8O,132.16,(E)-3-phenylprop-2-enal,N/A,1.9,N/A,N/A,CAS 검색 성공: CAS(104-55-2)
Cinnamic aldehyde dimethyl acetal,ifra,5463228,63511-93-3,C11H14O2,178.23,"[(E)-3,3-dimethoxyprop-1-enyl]benzene",N/A,2.2,N/A,N/A,CAS 검색 성공: CAS(4364-06-1)
Cinnamyl nitrile,ifra,1550846,4360-47-8,C9H7N,129.16,(E)-3-phenylprop-2-enenitrile,N/A,2,N/A,N/A,CAS 검색 성공: CAS(1885-38-7)
Citral,ifra,638011,5392-40-5,C10H16O,152.23,"(2E)-3,7-dimethylocta-2,6-dienal",N/A,3,N/A,N/A,CAS 검색 성공: CAS(5392-40-5)
Citronellol,ifra,8842,106-22-9,C10H20O,156.26,"3,7-dimethyloct-6-en-1-ol",N/A,3.2,N/A,N/A,CAS 검색 성공: CAS(106-22-9)
Coumarin,ifra,323,91-64-5,C9H6O2,146.14,chromen-2-one,N/A,1.4,N/A,N/A,CAS 검색 성공: CAS(91-64-5)
Cuminaldehyde,ifra,326,122-03-2,C10H12O,148.20,4-propan-2-ylbenzaldehyde,N/A,2.7,N/A,N/A,CAS 검색 성공: CAS(122-03-2)
Cyclamen aldehyde,ifra,517827,103-95-7,C13H18O,190.28,2-methyl-3-(4-propan-2-ylphenyl)propanal,N/A,3.3,N/A,N/A,CAS 검색 성공: CAS(103-95-7)
Cyclopentadecanolide,ifra,235414,106-02-5,C15H28O2,240.38,oxacyclohexadecan-2-one,N/A,5.8,N/A,N/A,CAS 검색 성공: CAS(106-02-5)
Dibenzyl ether,ifra,7657,103-50-4,C14H14O,198.26,phenylmethoxymethylbenzene,N/A,3.3,N/A,N/A,CAS 검색 성공: CAS(103-50-4)
"6,7-Dihydro-1,1,2,3,3-pentamethyl-4(5H)-indanone (DPMI)",ifra,92292,33704-61-9,C14H22O,206.32,"1,1,2,3,3-pentamethyl-2,5,6,7-tetrahydroinden-4-one",N/A,3.3,N/A,N/A,CAS 검색 성공: CAS(33704-61-9)
Dihydrocoumarin,ifra,660,119-84-6,C9H8O2,148.16,"3,4-dihydrochromen-2-one",N/A,1.6,N/A,N/A,CAS 검색 성공: CAS(119-84-6)
Dimethylcyclohex-3-ene-1-carbaldehyde (mixed isomers),ifra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CID not found (CAS/학명/성분/원료명 모두 실패)
"1-(5,5-Dimethyl-1-cyclohexen-1-yl)pent-4-en-1-one",ifra,92606,56973-85-4,C13H20O,192.30,"1-(5,5-dimethylcyclohexen-1-yl)pent-4-en-1-one",N/A,3.6,N/A,N/A,CAS 검색 성공: CAS(56973-85-4)
"2,2-Dimethyl-3-(3-tolyl)propan-1-ol",ifra,175948,103694-68-4,C12H18O,178.27,"2,2-dimethyl-3-(3-methylphenyl)propan-1-ol",N/A,3.1,N/A,N/A,CAS 검색 성공: CAS(103694-68-4)
2-Ethoxy-4-methylphenol,ifra,75715,2563-07-7,C9H12O2,152.19,2-ethoxy-4-methylphenol,N/A,2.3,N/A,N/A,CAS 검색 성공: CAS(2563-07-7)
p-Ethylbenzaldehyde,ifra,20861,4748-78-1,C9H10O,134.17,4-ethylbenzaldehyde,N/A,2.4,N/A,N/A,CAS 검색 성공: CAS(4748-78-1)
Eugenol,ifra,3314,97-53-0,C10H12O2,164.20,2-methoxy-4-prop-2-enylphenol,N/A,2,N/A,N/A,CAS 검색 성공: CAS(97-53-0)
Farnesol,ifra,445070,4602-84-0,C15H26O,222.37,"(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trien-1-ol",N/A,4.8,N/A,N/A,CAS 검색 성공: CAS(4602-84-0)
Geraniol,ifra,637566,106-24-1,C10H18O,154.25,"(2E)-3,7-dimethylocta-2,6-dien-1-ol",N/A,2.9,N/A,N/A,CAS 검색 성공: CAS(106-24-1)
2-Heptylidene cyclopentan-1-one,ifra,6441035,39189-74-7,C12H20O,180.29,(2E)-2-heptylidenecyclopentan-1-one,N/A,3.8,N/A,N/A,CAS 검색 성공: CAS(39189-74-7)
2-Hexenal,ifra,5281168,6728-26-3,C6H10O,98.14,(E)-hex-2-enal,N/A,1.5,N/A,N/A,CAS 검색 성공: CAS(505-57-7)
alpha-Hexyl cinnamic aldehyde,ifra,1550884,101-86-0,C15H20O,216.32,(2E)-2-benzylideneoctanal,N/A,4.8,N/A,N/A,CAS 검색 성공: CAS(101-86-0)
alpha-Hexylidene cyclopentanone,ifra,6385721,17373-89-6,C11H18O,166.26,(2E)-2-hexylidenecyclopentan-1-one,N/A,3.3,N/A,N/A,CAS 검색 성공: CAS(17373-89-6)
Hexyl salicylate,ifra,22629,6259-76-3,C13H18O3,222.28,hexyl 2-hydroxybenzoate,N/A,5.7,N/A,N/A,CAS 검색 성공: CAS(6259-76-3)
Hydroxycitronellal,ifra,7888,107-75-5,C10H20O2,172.26,"7-hydroxy-3,7-dimethyloctanal",N/A,1.6,N/A,N/A,CAS 검색 성공: CAS(107-75-5)
3 and 4-(4-Hydroxy-4-methylpentyl)-3-cyclohexene-1-carboxaldehyde (HMPCC),ifra,91604,31906-04-4,C13H22O2,210.31,4-(4-hydroxy-4-methylpentyl)cyclohex-3-ene-1-carbaldehyde,N/A,1.7,N/A,N/A,CAS 검색 성공: CAS(31906-04-4)
p-Isobutyl-alpha-methyl hydrocinnamaldehyde,ifra,110914,6658-48-6,C14H20O,204.31,2-methyl-3-[4-(2-methylpropyl)phenyl]propanal,N/A,3.8,N/A,N/A,CAS 검색 성공: CAS(6658-48-6)
Isocyclocitral,ifra,16204527,1335-66-6,C20H32O2,304.5,"2,4,6-trimethylcyclohex-3-ene-1-carbaldehyde;3,5,6-trimethylcyclohex-3-ene-1-carbaldehyde",N/A,N/A,N/A,N/A,CAS 검색 성공: CAS(1335-66-6)
Isocyclogeraniol,ifra,109458,68527-77-5,C10H18O,154.25,"(2,4,6-trimethylcyclohex-3-en-1-yl)methanol",N/A,2,N/A,N/A,CAS 검색 성공: CAS(68527-77-5)
Isoeugenol,ifra,853433,97-54-1,C10H12O2,164.20,2-methoxy-4-[(E)-prop-1-enyl]phenol,N/A,2.6,N/A,N/A,CAS 검색 성공: CAS(97-54-1)
Jasmine absolute (grandiflorum),ifra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CID not found (CAS/학명/성분/원료명 모두 실패)
Jasmine absolute (sambac),ifra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CID not found (CAS/학명/성분/원료명 모두 실패)
Melissa oil (genuine Melissa officinalis L.),ifra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CID not found (CAS/학명/성분/원료명 모두 실패)
Perilla aldehyde,ifra,16441,2111-75-3,C10H14O,150.22,4-prop-1-en-2-ylcyclohexene-1-carbaldehyde,N/A,2.6,N/A,N/A,CAS 검색 성공: CAS(2111-75-3)
Menthadiene-7-methyl formate,ifra,111516,272-066-0,C12H18O2,194.27,"2-(4-propan-2-ylcyclohexa-1,4-dien-1-yl)ethyl formate",N/A,2.6,N/A,N/A,CAS 검색 성공: CAS(68683-20-5)
