cas_number,goodscents_descriptors,leffingwell_labels,data_source
100-51-6,sweet;floral;rose;fruity;phenolic;balsamic;chemical,almond;fruity;sweet,pyrfume (goodscents + leffingwell)
100-52-7,sweet;cherry;cherry maraschino cherry;nutty;fruity;powdery;almond;bitter;sharp,almond,pyrfume (goodscents + leffingwell)
101-85-9,,floral;fruity;jasmine;pear;sweet;waxy,pyrfume (goodscents + leffingwell)
101-86-0,floral;herbal;fresh;green;jasmin;waxy,floral;jasmine;sweet,pyrfume (goodscents + leffingwell)
103-41-3,,balsamic;floral;sweet,pyrfume (goodscents + leffingwell)
103-50-4,sweet;mushroom;rose;plastic;fruity;cherry;earthy,almond;earthy;mushroom;rose;sweet,pyrfume (goodscents + leffingwell)
103-79-7,,fruity;green;sharp,pyrfume (goodscents + leffingwell)
103-95-7,cyclamen;musty;rhubarb;floral;fresh;green,floral;green;vegetable,pyrfume (goodscents + leffingwell)
103694-68-4,floral;tropical;lily of the valley;green,,pyrfume (goodscents + leffingwell)
104-27-8,,buttery;caramellic;sweet,pyrfume (goodscents + leffingwell)
104-54-1,sweet;fermented;spicy;cinnamon;floral;powdery;cinnamyl;balsamic;green;hyacinth,balsamic;floral;spicy;sweet,pyrfume (goodscents + leffingwell)
104-55-2,sweet;aldehydic;resinous;spicy;cinnamon;cassia;honey;cinnamyl;powdery;balsamic;aromatic,cinnamon;spicy,pyrfume (goodscents + leffingwell)
10403-00-6,powdery;animal;musk,,pyrfume (goodscents + leffingwell)
10461-98-0,floral;peony;fresh;geranium;grapefruit,,pyrfume (goodscents + leffingwell)
105-13-5,sweet;lilac;rose;floral;powdery;creamy;balsamic;coumarinic;cherry;licorice;hawthorn;hyacinth;lactonic,anisic;balsamic;coumarinic;creamy;floral;fruity;sweet;vanilla,pyrfume (goodscents + leffingwell)
10599-70-9,sweet;musty;cocoa;nutty;powdery;roasted;earthy;leathery;corn,earthy;nutty;roasted;sweet,pyrfume (goodscents + leffingwell)
106-02-5,natural;animal;fruity;powdery;tobacco;coumarinic;licorice;brown;heliotrope;musk,musk;pear;sweet,pyrfume (goodscents + leffingwell)
106-22-9,,rose,pyrfume (goodscents + leffingwell)
106-23-0,sweet;dry;aldehydic;floral;herbal;rose;green;citrus;waxy,citrus;fresh;green;lemon;woody,pyrfume (goodscents + leffingwell)
106-24-1,sweet;floral;rose;fruity;citrus;waxy,floral;rose;sweet,pyrfume (goodscents + leffingwell)
106-44-5,narcissus;animal;phenolic;mimosa,animal;medicinal;phenolic;smoky,pyrfume (goodscents + leffingwell)
107-75-5,sweet;floral;melon;green;lily;tropical;waxy,floral;sweet,pyrfume (goodscents + leffingwell)
107898-54-4,herbal;woody;tropical;sandalwood,,pyrfume (goodscents + leffingwell)
108-88-3,sweet,,pyrfume (goodscents + leffingwell)
111-12-6,vegetable;leafy;fatty;floral;melon;cucumber;violet;fruity;violet leaf;green;waxy,cucumber;green;leafy;vegetable;violet;winey,pyrfume (goodscents + leffingwell)
